"","GSM6206942","GSM6206943","GSM6206944","GSM6206945","GSM6206946","GSM6206947","GSM6206948","GSM6206949","GSM6206950","GSM6206951","GSM6206952","GSM6206953","GSM6206954","GSM6206955","GSM6206956","GSM6206957","GSM6206958","GSM6206959","GSM6206960","GSM6206961","GSM6206962","GSM6206963"
"ABHD17B",-0.853652177811124,-2.17476348670658,-0.776858585727654,-0.481614115955983,-3.68029574586788,-0.608237322871108,0.65911539466072,-1.71890432625624,0.0836644046826727,-0.205660760478787,-0.00523016129079565,0.514502731268962,0.236399217749179,-0.0942480586193158,0.464274968659917,0.632403740397613,0.522437614532092,0.787230510690396,0.387568739157996,1.04447132707209,-0.452773938350516,0.239934974622578
"ABHD4",-0.664219112346298,-0.252297080418246,0.277310488423183,-1.84736201886932,0.0708845484277786,-0.939475346266305,-2.49770959844596,0.397103348041929,0.766811617074304,0.212335029220124,0.517772552328058,0.00701309273188764,0.0946917041652587,0.153053301056479,-0.916705150677379,-0.75407031820775,0.568510377732675,-0.280863349657897,0.340925950499112,0.107537725763137,0.102574444196109,0.657772561012897
"ABI3",1.23896380015489,0.311831875491641,-0.880349318922034,0.0343680087366512,0.225330077205049,1.2344596161066,0.298258293420017,-0.540839863449495,-0.271284417218095,-4.20553438537278,1.09738105310224,-5.23103559089713,-4.95441195095964,0.424562412746086,-0.714887694120689,1.47087629104157,1.86187476977726,-0.960718001527826,0.91434012231823,0.129933391668231,0.550658172935493,-0.694103661042145
"ABL1",-1.7067196912005,-2.78558853346853,-0.0161597464234677,0.290294465973275,0.459300189912981,-0.642830227286762,-2.11633604487488,0.684659366204884,0.102467713690769,0.290993891903715,0.29080201049699,0.109462411861874,-0.0473967390819924,-0.721780918240811,-1.36048626031982,0.318309917416503,-0.556170472700167,-0.332778579661472,-0.331936773036242,0.496858833121381,0.303044309026483,0.731034349756098
"ABL2",0.0369294950047712,-0.383293033051288,0.591843322092448,-2.79798527952409,-0.230029911914213,-0.469526329618357,0.414473173200048,-0.424235718110729,0.834641220190069,-0.155977416913285,0.339897735877063,-0.42501735100056,0.369409819514782,-1.30112517456997,0.617064956494747,0.20250647259973,-0.580829213792088,-2.89427373962604,-1.31465474755348,-5.22184542798029,0.580638719447937,0.809049934090275
"ABO",0.0984320113684445,1.13385104392313,0.918432198401444,-0.297792405941788,0.053689327022456,0.00629729553111906,0.0648725231211358,0.437730429000477,1.18158946954991,-0.52460982932131,-0.0957496292949691,-0.77259431627501,0.126791796607673,0.602699665646438,-0.0794790599059333,-0.232447615406505,-0.308688456480401,-0.259970789851048,-2.73088609274642,-3.54644479358247,0.262504548194083,0.047597298232063
"ABRA",0.413623506796094,0.928165222029026,-0.0638910302890515,-0.0272142614695448,-0.148713991588824,0.47733179552982,0.00253166871790171,0.170917075258967,-0.138034018329804,-0.0705264347225234,-0.294756878171122,-0.166647636951013,-0.14264447819267,0.157196243351112,0.667837072962378,0.0470427801570711,0.201512661484026,0.00143525813399828,1.11185010301001,0.615652065863675,0.648561396941156,1.61213653453043
"ABT1",-1.57655283912416,-2.05478372299341,0.476766493469215,-2.59784437456568,0.218995145922173,-0.290787851260217,0.263200496457925,-0.538167275894063,-3.53095924580745,-1.47595589428543,0.730408702818647,1.02918279406631,-1.54574316786172,-0.23481491789706,0.456783853100997,0.547697173528568,0.63718208947398,0.924247334729015,-0.205660760478787,0.00547636509628757,0.807725486143524,-0.0347378710495569
"ABTB1",-0.667928328760852,-0.262314068420229,-2.13912609738897,-1.44094869623251,0.695223396620458,-0.13990508170416,-2.09290005213356,0.453543384339993,0.148047222573449,0.46587975543913,0.219868704957967,0.0788000220514075,-0.788936954909894,0.888659632408412,0.911019067875697,-0.0963956187158183,-0.326108251084633,0.842013020316662,0.670462849885045,0.353527409087658,-0.150842909429766,1.29940580525552
"ACACA",0.86837036501043,-0.889465223275455,0.491571028685191,-0.919009175513256,0.233688322361367,2.14200010644862,-1.23726367495182,-3.73669160692977,0.615652065863675,0.362145691560404,0.114485223207219,1.18651964905385,0.120805282168091,-0.124793253155732,0.597003465773173,-0.465895548083223,-0.400207761234126,-0.825033428817454,-0.334396055972603,0.132727593150263,0.438656531031477,1.1222798041508
